School,City,Role / job title,Status,Pay / band,Z-sponsor (Yes/No/ask),Mandarin required,Cert required first,Applied date,Last email date,Last email subject,Contact / apply URL,Email watch keywords,Notes,Application ID
Guangzhou International Economics College (GZIEC / 广州涉外经济职业技术学院),Guangzhou,Foreign English Teacher (外籍英语教师) — College of Chinese & International Education inquiry,Received — GZIEC HR auto-reply (mail received; will reply in a few days),ask / vocational-college band,Yes,No,No,2026-09-21 04:16 CT,2026-09-21 04:18 CT,广州涉外学院 自动回复: Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://www.gaoxiaojob.com/announcement/detail/374639.html,163.com; shewairenshi@163.com; GZIEC; 涉外经济; gziec.edu.cn,Overnight 2026-09-21 ~4:15am CDT: emailed shewairenshi@163.com (黎老师 HR) Gmail id 1a0c3428c68bb2af; resume DOCX attached. 2026招聘公告 lists 华文与国际教育学院英语专任教师1–2名 (IELTS 7 preferred for Chinese track) + school is pinwaiyi-registered foreign-teacher employer; applied as 外籍英语教师 / Z-visa path. Guangzhou Sha Tai Road campus preferred (Fogang also listed for some Chinese roles). Email watch 2026-09-21 ~3:48pm CDT: HR auto-reply confirmed mail received.,gziec-foreign-en-2026-09-21
Guangdong Pharmaceutical University (GDPU / 广东药科大学),Guangzhou,Foreign English Teacher inquiry — International Exchange Office,Submitted — awaiting recruiter reply,ask / prior eChinacities IELTS listing was ~9–12k + housing (expired May 2025),Yes,No,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://gjjlhzc.gdpu.edu.cn/jgjs/lxwm.htm,gdpu.edu.cn; gdpuws@gdpu.edu.cn; GDPU; 药科大学,Overnight 2026-09-21 ~4:15am CDT: emailed International Exchange public mailbox gdpuws@gdpu.edu.cn Gmail id 1a0c343b868a7038; resume DOCX attached. School previously posted Employer-type IELTS English teacher on eChinacities (expired); intl office confirmed at gjjlhzc.gdpu.edu.cn.,gdpu-ws-ft-2026-09-21
Guangdong Lingnan Institute of Technology (岭南职业技术学院),Guangzhou,Foreign English Teacher inquiry — HR (Tianhe campus preferred),Submitted — awaiting recruiter reply,ask / vocational-college band,Yes,No,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://lnc.edu.cn/js/rczp/content_30424,lnedugroup.com; lingnanhrzy@lnedugroup.com; Lingnan; 岭南职业技术; lnc.edu.cn,Overnight 2026-09-21 ~4:15am CDT: emailed HR lingnanhrzy@lnedugroup.com (李老师; open招聘 through 2026-7-31) Gmail id 1a0c343b7a72ebef; resume DOCX attached. Applied as 外籍英语教师 for Guangzhou Tianhe campus (大观中路492号); Qingyuan campus also exists — prefer GZ.,lingnan-hr-ft-2026-09-21
Spirit Kids / 思普睿特 (Tianhe),Guangzhou,Foreign English Teacher (language center),Skipped — no direct HR email (Liepin/pinwaiyi only; avoid agent boards),ask,No,No,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,http://www.pinwaiyi.com/employer/23824.html,Spirit Kids; 思普睿特; pinwaiyi,Overnight 2026-09-21 ~4:15am CDT: researched; no public direct HR email; Liepin hides contact. Do not re-chase via pinwaiyi agent path.,spirit-kids-no-email-skip-2026-09-21
Acada / 亚加达外语 (Guangzhou),Guangzhou,English teacher (language school),Skipped — only 2008-era emails (zhaopin@alcanta.com.cn / tonyji@alcanta.com.cn); too stale,ask,ask,No,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,https://paper.i21st.cn/story/46314.html,alcanta.com.cn; Acada; 亚加达,Overnight 2026-09-21 ~4:15am CDT: only historical 2008 i21st listing emails; no verified current HR. Skip until fresh direct contact.,acada-stale-email-skip-2026-09-21
Guangzhou Nanyang Polytechnic College (南洋理工职业学院),Guangzhou,Chinese faculty hire (not foreign-teacher post),"Skipped — qq.com-only HR (1272636688@qq.com) + Chinese-staff 2026公告, no 外教 post",n/a,ask,Yes,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,https://www.gaoxiaojob.com/announcement/detail/411212.html,qq.com; gznylg.edu.cn; 南洋理工,Overnight 2026-09-21 ~4:15am CDT: Autumn 2026教职工招聘 to qq mailbox only; criteria ban qq.com-only agent-style boards / Chinese-only posts.,nanyang-qq-chinese-hire-skip-2026-09-21
Guangzhou City Vocational College (GCP / 广州城市职业学院),Guangzhou,Chinese talent hire (gcprsc@163.com),Skipped — gcprsc@163.com is Chinese急需专业人才 hire; no foreign-teacher / intl mailbox found,n/a,ask,Yes,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,https://www.gcp.edu.cn/info/1053/22164.htm,gcp.edu.cn; gcprsc@163.com; 城市职业学院,Overnight 2026-09-21 ~4:15am CDT: NOT same as GCUT/gcu.edu.cn (already submitted). No intl/foreign-teacher contact published; skip Chinese talent mailbox.,gcp-chinese-talent-skip-2026-09-21
Guangzhou Civil Aviation Vocational College (民航职业技术学院),Guangzhou,Foreign teacher (no dedicated mailbox),Skipped — pinwaiyi-registered but no dedicated 外教 email; public pages only gzmhxyrsc@126.com Chinese personnel / general,ask,Yes,No,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,http://pinwaiyi.com/employer/23212.html,gcac.edu.cn; gzmhxyrsc@126.com; 民航职业技术,Overnight 2026-09-21 ~4:15am CDT: 2026招聘 is Chinese博士/高级职称 track via online system; no foreign-teacher posting or intl mailbox verified.,gcac-no-ft-mailbox-skip-2026-09-21
Guangdong Construction Polytechnic (建设职业技术学院),Guangzhou,Chinese staff hire,Skipped — intl college page has no FT email; rsc@gdcvi.edu.cn is Chinese公开招聘 only,n/a,ask,Yes,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,https://ic.gdcvi.edu.cn/,gdcvi.edu.cn; rsc@gdcvi.edu.cn; 建设职业技术,Overnight 2026-09-21 ~4:15am CDT: International College exists (出海/留学生) but no published foreign-teacher hire email.,gdcvi-rsc-chinese-skip-2026-09-21
Guangdong Mechanical & Electrical Polytechnic (机电职业技术学院),Guangzhou,Chinese Master's+ faculty hire,Skipped — jd61362198@163.com is Chinese人才引进/硕士教师; no 外教 post,n/a,ask,Yes,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,https://rszp.gdmec.edu.cn/,gdmec.edu.cn; jd61362198@163.com; 机电职业技术,Overnight 2026-09-21 ~4:15am CDT: 2026招聘166名硕士研究生及以上 — Chinese track only.,gdmec-chinese-talent-skip-2026-09-21
